"11Giraffes","https://manage.11giraffes.com/","{\"learned_xpath_password_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[4]/td/input\", \"learned_xpath_username_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[2]/td/input\", \"learned_xpath_username\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_UserName\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click_xpath\": \"/html/body/form/div[2]/div[6]/div/table/tbody/tr[1]/td/div/table/tbody/tr[1]/td/table/tbody/tr[7]/td/input\", \"learned_xpath_click\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_LoginButton\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#ctl00_ContentPlaceHolder1_LoginView1_Login1_Password\"}"
"Agiloft Support","https://www.agiloft.com/support-login.htm","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][class\\u003d\\u0027btn-u bold rounded\\u0027][name\\u003d\\u0027submitName\\u0027]\", \"learned_xpath_password\": \"#inputPassword\", \"learned_xpath_username\": \"#inputUser\"}"
"Air France","https://www.flyingblue.com/account/login.html","{\"learned_xpath_username\": \"#form_uid\", \"learned_doc_id_username\": \"-1\", \"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][class\\u003d\\u0027fb-button fb-button--big fb-button--darkblue fb-margin-bottom-20 js-fb-measure\\u0027]\", \"learned_doc_id_password\": \"-1\", \"learned_doc_id_click\": \"-1\", \"learned_xpath_password\": \"#form_pwd\"}"
"Airplus International","https://airplus.wrightexpresscorpcard.com/welcome.aspx","{\"learned_xpath_click\": \"#ctl00_contents_logIn\", \"learned_xpath_password\": \"#txtpassword\", \"learned_xpath_username\": \"#txtusername\"}"
"Airwatch","https://awcp.air-watch.com/ProvisioningPortal","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][value\\u003d\\u0027Login\\u0027][name\\u003d\\u0027Login\\u0027]\", \"learned_xpath_password\": \"#Password\", \"learned_xpath_username\": \"#Username\"}"
"Akamai","https://control.akamai.com/EdgeAuth/login.jsp","{\"learned_xpath_click\": \"HTML BODY DIV DIV FORM DIV INPUT.akam-button[name\\u003d\\u0027login\\u0027]\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#username\"}"
"Akken","https://login2.akken.com/","{\"learned_xpath_click\": \"INPUT[class\\u003d\\u0027button r4 wide primary\\u0027][type\\u003d\\u0027submit\\u0027][name\\u003d\\u0027submit\\u0027]\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#username\"}"
"Akritiv","https://www.akritiv.com/","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027][class\\u003d\\u0027formBlockSubmitButton\\u0027]\", \"learned_xpath_password\": \"#password\", \"learned_xpath_username\": \"#username\"}"
"Alacra","https://www.alacra.com/client-login/","{\"learned_xpath_click\": \"#wp-submit\", \"learned_xpath_password\": \"INPUT[type\\u003d\\u0027password\\u0027][name\\u003d\\u0027password\\u0027]\", \"learned_xpath_username\": \"INPUT[type\\u003d\\u0027text\\u0027][name\\u003d\\u0027login\\u0027]\"}"
"Alaska Airlines","https://www.alaskaair.com/www2/ssl/myalaskaair/MyAlaskaAir.aspx","{\"learned_xpath_click\": \"#FormUserControl__signIn\", \"learned_xpath_password\": \"#FormUserControl__signInProfile__passwordControl__password\", \"learned_xpath_username\": \"#FormUserControl__signInProfile__userIdControl__userId\"}"
"AlertGrid","https://hq.alert-grid.com/en/","{\"learned_xpath_click\": \"INPUT[type\\u003d\\u0027submit\\u0027]\", \"learned_xpath_password\": \"#id_password\", \"learned_xpath_username\": \"#id_username\"}"
"Alfresco","https://my.alfresco.com/share/","{\"learned_xpath_click\": \"#page_x002e_components_x002e_slingshot-login_x0023_default-submit-button\", \"learned_xpath_password\": \"#page_x002e_components_x002e_slingshot-login_x0023_default-password\", \"learned_xpath_username\": \"#page_x002e_components_x002e_slingshot-login_x0023_default-username\"}"
"allClients","https://www.allclients.com/Login.aspx","{\"learned_xpath_click\": \"#lbtnLogIn\", \"learned_xpath_password\": \"#txtLoginPassword\", \"learned_xpath_username\": \"#txtLoginEmail\"}"
